Order Number,Definition,Part_of_Speech,Correct_Character,Correct_Pinyin,Frequency,Usage,Choice_A_Char,Choice_A_Pinyin,Choice_B_Char,Choice_B_Pinyin,Choice_C_Char,Choice_C_Pinyin,Choice_D_Char,Choice_D_Pinyin,Choice_E_Char,Choice_E_Pinyin,Correct_Choice
205,A building with multiple floors or stories; a floor/story of a building. Can also refer to a storied structure or tower.,noun,楼,lou2,64,"Common in words like 大楼 (building), 二楼 (second floor), 楼上 (upstairs)",液,ye4,思,si1,楼,lou2,杀,sha1,允,yun3,C
206,"Public, common, or official; also means male (for animals) or duke. Often used in compound words related to public matters or formal contexts.",adjective/noun,公,gong1,63,"Common in words like 公司 (company), 公园 (public park), 公共 (public), and 老公 (husband)",公,gong1,闪,shan3,爷,ye2,团,tuan2,冲,chong1,A
207,"Orchid, a type of elegant flower highly valued in Chinese culture. Also used as a component in names and place names.",noun,兰,lan2,63,Common in compounds like 兰花 (orchid flower) and names like 荷兰 (Holland/Netherlands),外,wai4,易,yi4,路,lu4,兰,lan2,盔,kui1,D
208,"Woman, female, or daughter. This character represents the female gender and is one of the most fundamental Chinese characters.",noun,女,nv3,63,"Used in compounds like 女人 (woman), 女孩 (girl), 女儿 (daughter), and as a radical in many characters related to females",女,nv3,护,hu4,指,zhi3,篇,pian1,窥,kui1,A
209,"A structural particle used to form noun phrases from verbs, meaning 'that which' or 'what is'. Also serves as a measure word for buildings like houses and schools.",particle/measure word,所,suo3,63,"Common in patterns like 所 + verb (e.g., 所说 'what is said') and as MW for institutions (e.g., 一所学校 'a school')",容,rong2,记,ji4,铃,ling2,所,suo3,职,zhi2,D
210,To die or death; can also mean extremely or to the extreme when used as an intensifier.,verb/adjective,死,si3,63,Used literally for death (死了 - died) or as an intensifier in colloquial speech (累死了 - extremely tired),死,si3,佩,pei4,因,yin1,匙,shi,艰,jian1,A
211,Soft leather or tanned hide; also commonly used as a Chinese surname (Wei),noun,韦,wei2,63,Rarely used alone in modern Chinese; primarily appears in names and classical texts,秒,miao3,巧,qiao3,裁,cai2,需,xu1,韦,wei2,E
212,"To look for, search for, or seek something or someone. Also means to give change (money) in transactions.",verb,找,zhao3,62,"Common in phrases like 找人 (look for someone), 找东西 (look for things), or 找钱 (give change)",期,qi1,备,bei4,趴,pa1,找,zhao3,景,jing3,D
213,A step or pace; can refer to a physical step when walking or a stage/phase in a process.,noun/measure word,步,bu4,62,"Common in words like 散步 (take a walk), 进步 (progress), and 步骤 (steps/procedure)",虑,lv4,步,bu4,霸,ba4,遥,yao2,顶,ding3,B
214,Fire; flame or heat produced by burning. Also means anger or temper in colloquial usage.,noun,火,huo3,62,"Common in words like 火车 (train, literally 'fire vehicle') and 发火 (to get angry)",火,huo3,掏,tao1,阶,jie1,雄,xiong2,梯,ti1,A
215,Gold or metal; also means money or something precious and valuable.,noun,金,jin1,62,"Common in words like 金钱 (money), 黄金 (gold), and as a surname",隐,yin3,呻,shen1,击,ji1,龄,ling2,金,jin1,E
216,"Low in height, position, or level; the opposite of high (高). Can describe physical height, volume, temperature, price, or status.",adjective,低,di1,61,"Common in words like 低头 (lower one's head), 低价 (low price), 声音很低 (voice is low)",挤,ji3,低,di1,有,you3,周,zhou1,弯,wan1,B
217,"To use, to make, or to cause someone/something to do something. Also means 'to send' or 'envoy' in certain contexts.",verb,使,shi3,61,Common in causative constructions like 使我高兴 (make me happy) and in the word 使用 (to use),使,shi3,道,dao4,摇,yao2,枝,zhi1,草,cao3,A
218,"To add, increase, or put in more of something. Also means 'plus' in mathematical operations.",verb,加,jia1,61,"Common in phrases like 加油 (add fuel/cheer on), 加水 (add water), and math expressions like 一加一 (one plus one)",庭,ting2,加,jia1,乔,qiao2,从,cong2,硬,ying4,B
219,To sit or to sit down; to take a seat in a chair or other seating position.,verb,坐,zuo4,61,"Common in everyday phrases like 请坐 (please sit) and 坐下 (sit down). Also used for traveling by vehicle, as in 坐车 (take a car/bus)",治,zhi4,言,yan2,未,wei4,坐,zuo4,开,kai1,D
220,"Shape, form, or appearance of something; the physical outline or structure that something has.",noun,形,xing2,61,"Common in words like 形状 (shape), 形式 (form/format), and 情形 (situation/condition)",跳,tiao4,己,ji3,费,fei4,形,xing2,优,you1,D
221,"To become, to turn into, or to succeed in doing something. Also means to complete or accomplish something.",verb,成,cheng2,61,"Common in words like 成功 (succeed), 成为 (become), and 完成 (complete)",嗡,weng1,成,cheng2,寸,cun4,间,jian1,躺,tang3,B
222,"To take, hold, or grasp something with your hand(s); to carry or bring something.",verb,拿,na2,61,Common in everyday expressions like 拿书 (take a book) or 拿来 (bring it here),拿,na2,单,dan1,睛,jing1,怜,lian2,羽,yu3,A
223,"A measure word used for counting books, magazines, and other bound printed materials; also means 'root' or 'origin' as a noun.",measure word / noun,本,ben3,61,"Most commonly used as a classifier, as in 一本书 (one book) or 三本杂志 (three magazines)",插,cha1,吉,ji2,持,chi2,本,ben3,特,te4,D
224,"A modal particle used at the end of sentences to make suggestions, soften commands, or indicate uncertainty or supposition.",particle,吧,ba,60,"Common in phrases like 走吧 (let's go), 好吧 (okay then), or 是吧 (right?/isn't it?)",吧,ba,猸,mei2,马,ma3,愉,yu2,愤,fen4,A
225,"Aunt, specifically referring to mother's sister or mother's female friends; also used for wife's sister.",noun,姨,yi2,60,"Common in family terms like 阿姨 (auntie, also used politely for any middle-aged woman)",漆,qi1,美,mei3,戈,ge1,姨,yi2,情,qing2,D
226,"A shaman, witch, or wizard; a person who practices spiritual rituals and communicates with spirits or deities in traditional Chinese culture.",noun,巫,wu1,60,Often appears in compound words like 巫师 (wūshī - wizard/sorcerer) or 巫婆 (wūpó - witch),咬,yao3,巫,wu1,分,fen1,跨,kua4,钻,zuan1,B
227,"To think, to consider, or to miss someone. This character represents mental activity related to thinking, pondering, or longing.",verb,思,si1,60,"Common in words like 思考 (to think/ponder), 思念 (to miss someone), and 意思 (meaning)",右,you4,佬,lao3,思,si1,金,jin1,虫,chong2,C
228,"Square or direction; also means method or way of doing something. As a measure word, it refers to square units of area.",noun/measure word,方,fang1,60,"Common in words like 方法 (method), 地方 (place), 东方 (east/eastern direction), and 平方米 (square meter)",毫,hao2,嚷,rang3,故,gu4,桌,zhuo1,方,fang1,E
229,"The color white; also means clear, plain, or blank. Can describe something pure, innocent, or done in vain.",adjective,白,bai2,60,"Common in words like 白色 (white color), 明白 (to understand), 白天 (daytime), and 白费 (wasted effort)",白,bai2,街,jie1,匆,cong1,幸,xing4,空,kong1,A
230,"Gift, present; also refers to ceremony, ritual, or etiquette/manners in social contexts.",noun,礼,li3,60,"Common in words like 礼物 (gift), 礼貌 (polite/politeness), and 婚礼 (wedding ceremony)",拽,zhuai1,礼,li3,业,ye4,股,gu3,片,pian4,B
231,"To do, to make, or to act as. Often used in compound words related to work, creation, or functioning.",verb,作,zuo4,59,"Common in words like 工作 (work), 作业 (homework), 作用 (function/effect)",浅,qian3,作,zuo4,岁,sui4,晃,huang3,指,zhi3,B
232,The number ten; a fundamental number in Chinese counting and the base of the decimal system.,number,十,shi2,59,"Used in counting, telling time (十点 - 10 o'clock), and forming larger numbers like 十一 (eleven) or 二十 (twenty)",盏,zhan3,沉,chen2,十,shi2,痛,tong4,索,suo3,C
233,"Table or desk; a piece of furniture with a flat surface supported by legs used for eating, working, or placing objects.",noun,桌,zhuo1,59,"Commonly used in words like 桌子 (zhuōzi - table), 书桌 (shūzhuō - desk), 饭桌 (fànzhuō - dining table)",桌,zhuo1,采,cai3,各,ge4,绷,beng1,往,wang3,A
234,"Mutually, each other, or one another; indicates reciprocal action or relationship between people or things.",adverb,相,xiang1,59,"Common in words like 相信 (believe), 相同 (same), 互相 (mutually)",纪,ji4,叼,diao1,旁,pang2,蜡,la4,相,xiang1,E
235,"A bag, sack, or pouch used for carrying or storing things. Can also be used as a measure word for things that come in bags.",noun/measure word,袋,dai4,59,"Common in words like 口袋 (pocket), 袋子 (bag), 塑料袋 (plastic bag), or 一袋米 (a bag of rice)",邪,xie2,拖,tuo1,袋,dai4,瓜,gua1,徒,tu2,C
236,A preposition meaning 'toward' or 'to' that indicates direction or the target of an action. Also used as a verb meaning 'to face' or 'to turn toward.',preposition/verb,向,xiang4,58,"Common in phrases like 向前 (forward), 向左 (to the left), or 向他学习 (learn from him)",向,xiang4,丁,ding1,溜,liu1,愿,yuan4,盘,pan2,A
237,To make a sound or noise; loud. Can also mean to respond or have an effect.,verb/adjective,响,xiang3,58,"Common in words like 响亮 (loud and clear), 影响 (influence), and 声响 (sound/noise)",响,xiang3,军,jun1,箭,jian4,表,biao3,列,lie4,A
238,"Thing, object, or matter; refers to physical items, creatures, or abstract entities.",noun,物,wu4,58,"Common in compounds like 动物 (animal), 食物 (food), 物品 (goods/items), and 人物 (person/character)",物,wu4,农,nong2,叶,ye4,昏,hun1,贴,tie1,A
239,"Flat, level, or even; also means peaceful or calm. Describes surfaces without bumps or slopes, and situations without conflict or disturbance.",adjective,平,ping2,57,"Common in words like 平安 (safe/peaceful), 水平 (level/standard), and 公平 (fair)",嘀,di2,耸,song3,平,ping2,妮,ni1,允,yun3,C
240,"A literary/classical Chinese particle meaning 'not' or 'no', equivalent to 不 in modern Chinese. Also used as a phonetic component in transliterations of foreign names and words.",particle/adverb,弗,fu2,57,Commonly seen in names like 弗吉尼亚 (Virginia) and classical texts; rarely used in everyday modern Chinese,寄,ji4,弗,fu2,喉,hou2,付,fu4,将,jiang1,B
241,"To be startled, alarmed, or surprised; to shock or frighten someone or something.",verb,惊,jing1,57,"Commonly used in words like 吃惊 (be surprised), 惊讶 (amazed), and 惊喜 (pleasant surprise)",态,tai4,扎,zha1,委,wei3,惊,jing1,摇,yao2,D
242,A room or house; a general term for living spaces and buildings used for residence.,noun,房,fang2,57,"Commonly seen in words like 房间 (room), 房子 (house), and 厨房 (kitchen)",抵,di3,灯,deng1,烁,shuo4,颤,chan4,房,fang2,E
243,To dare or have the courage to do something. Often used to express boldness or willingness to take risks.,auxiliary verb,敢,gan3,57,Common in phrases like 我不敢 (I don't dare) or 你敢吗? (Do you dare?),敦,dun1,闭,bi4,封,feng1,膝,xi1,敢,gan3,E
244,A question particle used to soften questions or indicate an ongoing situation. Also used to ask 'what about' or 'where is' something/someone.,particle,呢,ne,56,Common in questions like 你呢? (What about you?) or 他在哪儿呢? (Where is he?),嗖,sou1,残,can2,鞠,ju1,廊,lang2,呢,ne,E
245,"To do or to work; also means dry (as an adjective). As a verb, it's commonly used in colloquial speech to mean 'do' or 'engage in an activity.'",verb/adjective,干,gan4,56,"Used in phrases like 干什么 (do what), 干活 (do work), or 干杯 (cheers/bottoms up)",即,ji2,干,gan4,牡,mu3,尾,wei3,晨,chen2,B
246,"Should or ought to, indicating obligation or necessity; also used to mean 'that particular' or 'the said' when referring to something previously mentioned.",auxiliary verb/determiner,该,gai1,56,Common in phrases like 该做 (should do) or 该学生 (that student),该,gai1,贾,jia3,巧,qiao3,扇,shan4,笨,ben4,A
247,"To flash, shine, or flicker with sudden light; also means to dodge or move quickly to the side.",verb,闪,shan3,56,"Common in words like 闪电 (lightning), 闪光 (flash), and when describing quick movements to avoid something",旅,lv3,秘,mi4,腾,teng2,闪,shan3,南,nan2,D
248,A surname (one of the common Chinese family names); also means 'suddenly' or 'quickly' in classical Chinese.,noun/adverb,霍,huo4,56,"Most commonly encountered as a surname, as in 霍元甲 (Huo Yuanjia, a famous martial artist)",怨,yuan4,疯,feng1,霍,huo4,覆,fu4,考,kao3,C
249,"To resemble, to be similar to, or to seem like something. Often used to make comparisons between things or describe appearances.",verb,似,shi4,55,"Commonly appears in compounds like 似乎 (sìhū - seemingly) and 相似 (xiāngsì - similar), or in the pattern A似B (A resembles B)",迹,ji4,猪,zhu1,辈,bei4,似,shi4,服,fu2,D
250,"To change, transform, or become different. This verb describes the process of something becoming altered or modified from its original state.",verb,变,bian4,55,"Common in words like 变化 (change), 改变 (to change), and 变成 (to become)",变,bian4,讨,tao3,雪,xue3,兜,dou1,换,huan4,A
251,Empty or vacant; having nothing inside or unoccupied. Can also mean sky or air.,adjective/noun,空,kong1,55,"Common in words like 空间 (space), 天空 (sky), and 空的 (empty)",亏,kui1,咬,yao3,埋,mai2,卜,bo,空,kong1,E
252,"Means 'whole', 'entire', 'complete', or 'all'. Used to indicate completeness or totality of something.",adjective,全,quan2,54,"Common in phrases like 全部 (all/entire), 全国 (whole country), 安全 (safety/safe)",全,quan2,膀,bang3,忆,yi4,忧,you1,倾,qing1,A
253,"Physical strength, power, or force; also refers to ability or capability to do something.",noun,力,li4,54,"Common in words like 力量 (strength), 努力 (effort), 能力 (ability), and 力气 (physical strength)",力,li4,扭,niu3,判,pan4,枕,zhen3,枝,zhi1,A
254,"To handle, manage, or take care of something; to do or conduct business or affairs.",verb,办,ban4,54,"Common in words like 办公 (work in an office), 办法 (method/way), and 办事 (handle affairs)",肩,jian1,厕,ce4,办,ban4,瞥,pie1,绪,xu4,C
255,"Mouth; the body part used for eating, drinking, and speaking.",noun,嘴,zui3,54,Common in everyday expressions like 张嘴 (open one's mouth) or 嘴巴 (mouth),蓉,rong2,软,ruan3,囱,cong1,照,zhao4,嘴,zui3,E
256,Husband or man (formal/literary); also used as a classical Chinese particle at the beginning of sentences for emphasis.,noun,夫,fu1,54,"Common in words like 丈夫 (zhàngfu, husband) and 夫妻 (fūqī, married couple)",奈,nai4,哐,kuang1,夫,fu1,隆,long2,厌,yan4,C
257,"Question word meaning 'who' or 'whom', used to ask about a person's identity.",pronoun,谁,shui2,54,Used in questions like 你是谁? (Who are you?) or 谁来了? (Who came?),式,shi4,谁,shui2,势,shi4,斑,ban1,庆,qing4,B
258,"Indicates that something has just happened or occurred a very short time ago, equivalent to 'just' or 'just now' in English.",adverb,刚,gang1,53,"Commonly used before verbs, as in 我刚到 (I just arrived) or 他刚走 (He just left)",圈,quan1,刚,gang1,晰,xi1,恹,yan1,逃,tao2,B
259,"Root (of a plant or tree); also used as a measure word for long, thin objects like sticks, strings, or hair strands.",noun/measure word,根,gen1,53,"Common in phrases like 树根 (tree root) or as a counter: 一根头发 (one strand of hair), 三根香蕉 (three bananas)",盆,pen2,抑,yi4,悦,yue4,守,shou3,根,gen1,E
260,"A measure word for events, performances, games, or occurrences; also means an open space, field, or venue.",measure word/noun,场,chang3,52,"Used to count events like 一场电影 (one movie showing), 一场比赛 (one game/match), or refers to places like 广场 (plaza), 球场 (sports field)",场,chang3,肉,rou4,插,cha1,揪,jiu1,蛋,dan4,A
261,"Pointed, sharp, or having a tip; describes objects that taper to a point or end in a sharp edge.",adjective,尖,jian1,52,"Common in words like 尖叫 (to scream), 笔尖 (pen tip), 尖锐 (sharp/acute)",朦,meng2,尖,jian1,辜,gu1,徒,tu2,湿,shi1,B
262,To sweep or clean with a broom; also means to scan (as in scanning a QR code with your phone).,verb,扫,sao3,52,Common in 扫地 (sweep the floor) and 扫码 (scan a code),扫,sao3,临,lin2,檬,meng2,电,dian4,绍,shao4,A
263,"To wear or put on (clothing, shoes, or accessories that go through or onto the body); to pierce through or penetrate.",verb,穿,chuan1,52,"Most commonly used for clothing items like 穿衣服 (wear clothes), 穿鞋 (wear shoes). Also means to pass through, as in 穿过 (pass through).",穿,chuan1,蜍,chu2,丽,li4,浆,jiang1,区,qu1,A
264,Fragrance or pleasant aroma. This character is often used in literary contexts or as part of compound words related to pleasant smells.,noun/adjective,芬,fen1,52,Commonly seen in words like 芬芳 (fēnfāng - fragrant) and in transliterations of foreign names like 芬兰 (Fēnlán - Finland),灾,zai1,嘎,ga1,锁,suo3,您,nin2,芬,fen1,E
265,"Competition, match, or contest; can also be used as a verb meaning 'to compete' or 'to race'",noun/verb,赛,sai4,52,"Common in words like 比赛 (competition), 赛跑 (race), 足球赛 (football match)",熟,shu2,剂,ji4,狮,shi1,赛,sai4,帘,lian2,D
266,"Question word meaning 'which' or 'where', used to ask about choices or locations.",question pronoun,哪,na3,51,"Common in questions like 哪个 (which one), 哪里 (where), 哪天 (which day)",哪,na3,象,xiang4,披,pi1,困,kun4,眺,tiao4,A
267,"Outside, outer, or external; refers to anything beyond a boundary or different from oneself. Also means foreign or unrelated.",noun/adjective,外,wai4,51,"Common in words like 外面 (outside), 外国 (foreign country), 外婆 (maternal grandmother)",外,wai4,叹,tan4,窃,qie4,村,cun1,幸,xing4,A
268,Foot; the lower part of the leg below the ankle used for standing and walking. Can also refer to the base or bottom part of objects.,noun,脚,jiao3,51,Common in everyday expressions like 脚下 (under one's feet) and 山脚 (foot of a mountain),烤,kao3,悉,xi1,编,bian1,脚,jiao3,拨,bo1,D
269,"A flat, thin piece or slice of something; also used as a measure word for flat, thin objects like slices, tablets, or expanses of land.",noun/measure word,片,pian4,50,"Common in phrases like 一片面包 (a slice of bread), 照片 (photograph), or 片刻 (a brief moment)",糖,tang2,武,wu3,片,pian4,瓶,ping2,胃,wei4,C
270,To stare at or gaze fixedly at something or someone; to keep a close watch on.,verb,盯,ding1,50,Often used in contexts like 盯着看 (stare at) or 盯住 (keep eyes fixed on),霉,mei2,荣,rong2,虚,xu1,盯,ding1,犹,you2,D
271,Thatched roof or thatch; also refers to thorny plants or brambles.,noun,茨,ci2,50,Mainly appears in compound words like 茅茨 (thatched cottage) or in place names like 茨城,辣,la4,裁,cai2,茨,ci2,社,she4,嗖,sou1,C
272,"To close, shut, or turn off; also means a barrier, pass, or checkpoint. As a verb, it's the opposite of 开 (kāi, to open).",verb/noun,关,guan1,49,"Common in phrases like 关门 (close the door), 关灯 (turn off the light), 关系 (relationship/connection)",关,guan1,聪,cong1,攻,gong1,质,zhi4,髅,lou2,A
273,Hope or wish; also means rare or scarce. Most commonly seen in compound words rather than used alone.,verb/adjective,希,xi1,49,"Found in words like 希望 (xīwàng - hope), 希奇 (xīqí - rare), and 希腊 (xīlà - Greece)",希,xi1,螺,luo2,倍,bei4,躯,qu1,袭,xi2,A
274,"Clear, clean, or pure; describes something that is transparent, uncontaminated, or easy to understand.",adjective,清,qing1,49,"Common in words like 清楚 (clear/obvious), 清水 (clear water), and 清洁 (clean)",剥,bo1,充,chong1,邪,xie2,清,qing1,铜,tong2,D
275,Wolf; a wild carnivorous animal known for hunting in packs.,noun,狼,lang2,49,Common in idioms and expressions like 狼狈 (in a difficult position) and 狼来了 (the boy who cried wolf),狼,lang2,孔,kong3,青,qing1,噜,lu1,鸟,niao3,A
276,"To rise, prosper, or flourish; to start or establish something. Also means interest or enthusiasm (when pronounced xìng in the fourth tone).",verb/noun,兴,xing1,48,"Common in words like 兴奋 (excited), 高兴 (happy), and 兴起 (to rise up)",权,quan2,佐,zuo3,兴,xing1,鼎,ding3,妨,fang2,C
277,"To receive, catch, or pick up something; to connect or join things together.",verb,接,jie1,48,"Common in phrases like 接电话 (answer the phone), 接人 (pick someone up), 接着 (continue/next)",勉,mian3,忡,chong1,翅,chi4,个,ge4,接,jie1,E
278,Fertile or rich (describing soil or land); to irrigate or water land.,adjective/verb,沃,wo4,48,Commonly seen in words like 肥沃 (fertile) and in brand names like 沃尔玛 (Walmart),沃,wo4,吵,chao3,抛,pao1,到,dao4,降,jiang4,A
279,"To leave, depart from, or be away from a place or person; also means distance or separation from something.",verb,离,li2,48,"Common in expressions like 离开 (to leave), 距离 (distance), and 离...远/近 (far from/close to)",离,li2,壶,hu2,头,tou2,司,si1,擅,shan4,A
280,"A prefix or adverb meaning 'not' or 'non-', used to negate or indicate the opposite of something. More formal than 不 (bù).",adverb/prefix,非,fei1,48,Common in words like 非常 (fēicháng - very/extremely) and 非法 (fēifǎ - illegal),从,cong2,橱,chu2,恨,hen4,屉,ti4,非,fei1,E
281,"Inside, interior, or within; refers to the inner part or internal area of something, as opposed to outside (外).",noun/localizer,内,nei4,47,"Common in words like 国内 (domestic/within the country), 室内 (indoor), and 内容 (content/contents)",态,tai4,内,nei4,枕,zhen3,恩,en1,淹,yan1,B
282,"Mother or mom; an informal, affectionate term for one's female parent.",noun,妈,ma1,47,"Commonly used in 妈妈 (māma, mom) and appears in family-related expressions",牢,lao2,执,zhi2,身,shen1,竭,jie2,妈,ma1,E
283,"To bring, carry, or take something/someone along with you; can also mean to wear or have something on you.",verb,带,dai4,47,"Common in phrases like 带钱 (bring money), 带孩子 (take care of children), 带路 (lead the way)",摞,luo4,意,yi4,瞒,man2,带,dai4,贞,zhen1,D
284,"Universal, general, or common; means widespread or applicable to all.",adjective,普,pu3,47,Most commonly seen in words like 普通 (pǔtōng - ordinary/common) and 普遍 (pǔbiàn - universal/widespread),则,ze2,纷,fen1,栏,lan2,家,jia1,普,pu3,E
285,Question particle placed at the end of a statement to turn it into a yes/no question.,particle,吗,ma,46,Used in phrases like 你好吗? (How are you?) and 这是书吗? (Is this a book?),妻,qi1,胆,dan3,回,hui2,滴,di1,吗,ma,E
286,"To breathe in, inhale, or suck in; to absorb or draw in something (air, liquid, smoke, etc.)",verb,吸,xi1,46,"Common in words like 呼吸 (breathe), 吸烟 (smoke/smoking), 吸收 (absorb)",吸,xi1,第,di4,瘫,tan1,蛤,ha2,拥,yong1,A
287,"To point at or indicate something; also means finger. As a verb, it refers to pointing out, directing attention to, or referring to something specific.",verb/noun,指,zhi3,46,"Common in words like 手指 (finger), 指出 (to point out), and 指导 (to guide/instruct)",正,zheng4,指,zhi3,浮,fu2,粪,fen4,贝,bei4,B
288,"Essence, spirit, or energy; also means refined, skilled, or精通 (proficient). Can refer to精神 (spirit/vitality) or精彩 (brilliant/wonderful).",noun/adjective,精,jing1,46,"Common in words like 精神 (spirit), 精彩 (wonderful), 酒精 (alcohol), and 精通 (proficient in)",光,guang1,精,jing1,腾,teng2,迈,mai4,示,shi4,B
289,Old or aged; also used as a prefix to show respect or familiarity with people's surnames or to indicate long-standing status.,adjective/prefix,老,lao3,46,"Common in words like 老师 (teacher), 老人 (elderly person), or 老王 (Old Wang - familiar address)",老,lao3,雀,que4,脆,cui4,袖,xiu4,情,qing2,A
290,"To allow, permit, or promise; also means 'many' or 'much' when used in certain compounds.",verb,许,xu3,46,"Common in words like 也许 (perhaps), 许多 (many), and 允许 (to permit)",遭,zao1,龟,gui1,许,xu3,突,tu1,踏,ta4,C
291,Eagle or hawk; a large bird of prey known for its sharp vision and powerful hunting abilities.,noun,鹰,ying1,45,Often used in metaphors for keen observation (鹰眼 eagle eye) or in names and symbolic contexts,临,lin2,锐,rui4,鹰,ying1,兰,lan2,里,li3,C
292,Book or written work. One of the most fundamental nouns for reading materials and literature.,noun,书,shu1,44,"Used in common words like 看书 (read a book), 书店 (bookstore), 图书馆 (library)",出,chu1,凶,xiong1,书,shu1,骷,ku1,成,cheng2,C
293,"To serve as, to act as, or to work as something; also means 'when' or 'at the time of' in certain contexts.",verb,当,dang1,44,Common in phrases like 当老师 (to work as a teacher) or 当时 (at that time),啤,pi2,对,dui4,袋,dai4,仰,yang3,当,dang1,E
294,"To put, place, or set down something; also means to release, let go, or let out.",verb,放,fang4,44,"Common in everyday expressions like 放下 (put down), 放学 (school lets out), 放心 (feel relieved)",偶,ou3,局,ju2,以,yi3,似,shi4,放,fang4,E
295,"A board, plank, or flat piece of wood or other material; can also mean stiff or rigid.",noun/adjective,板,ban3,44,"Common in words like 黑板 (blackboard), 木板 (wooden plank), and 老板 (boss)",惑,huo4,穿,chuan1,板,ban3,判,pan4,克,ke4,C
296,"To be happy, joyful, or merry; to like or enjoy something. This character is rarely used alone in modern Chinese.",verb/adjective,欢,huan1,44,"Most commonly seen in compounds like 欢迎 (huānyíng - welcome), 喜欢 (xǐhuan - to like), and 欢乐 (huānlè - joyful)",接,jie1,搭,da1,欢,huan1,卖,mai4,张,zhang1,C
297,"Reason, logic, or principle; also means to manage, pay attention to, or tidy up. As a noun, it refers to rational thinking or natural laws.",noun/verb,理,li3,44,"Common in words like 道理 (reason/truth), 理解 (understand), 管理 (manage), and 不理 (ignore)",鹰,ying1,歪,wai1,些,xie1,理,li3,嘻,xi1,D
298,To blink or wink; the rapid closing and opening of one or both eyelids.,verb,眨,zha3,44,Most commonly used in 眨眼 (zhǎyǎn - to blink) and 眨眼睛 (zhǎ yǎnjing - to blink one's eyes),星,xing1,甩,shuai3,眨,zha3,沉,chen2,塑,su4,C
299,To be willing to or to agree to do something; to consent or affirm.,verb,肯,ken3,44,Commonly used in phrases like 肯定 (certainly/affirmative) and 我肯 (I'm willing),级,ji2,绳,sheng2,飞,fei1,宁,ning2,肯,ken3,E
300,"Light in weight or gentle in manner; not heavy or not serious. Can describe physical lightness, soft actions, or minor degree.",adjective,轻,qing1,44,"Common in words like 轻松 (relaxed), 年轻 (young), 轻声 (soft voice), and 轻重 (weight/importance)",明,ming2,蝇,ying2,轻,qing1,喜,xi3,弧,hu2,C
301,To wait or await; refers to a period of time or season. Most commonly seen in compound words related to waiting or time periods.,verb/noun,候,hou4,43,"Found in common words like 时候 (shíhou - time/moment), 等候 (děnghòu - to wait), and 气候 (qìhòu - climate)",形,xing2,悴,cui4,辣,la4,候,hou4,需,xu1,D
302,"A possessive pronoun meaning 'his', 'her', 'its', or 'their'; also used as a demonstrative meaning 'that' or 'such' in formal or written Chinese.",pronoun,其,qi2,43,"Common in formal expressions like 其他 (qítā - other), 其中 (qízhōng - among which), and 尤其 (yóuqí - especially)",抑,yi4,香,xiang1,视,shi4,其,qi2,弗,fu2,D
303,"A scholar, soldier, or person with specialized skills; historically referred to educated gentlemen or warriors in ancient China.",noun,士,shi4,43,"Commonly appears in compound words like 战士 (warrior), 护士 (nurse), 博士 (doctor/PhD), and 律师 (lawyer)",待,dai4,士,shi4,掠,lve4,场,chang3,供,gong1,B
304,"A bed, the piece of furniture used for sleeping or resting.",noun,床,chuang2,43,"Common in phrases like 上床 (go to bed), 床上 (on the bed), 一张床 (a bed)",非,fei1,床,chuang2,半,ban4,斜,xie2,刊,kan1,B
305,To sink or submerge in water; also means heavy or deep in a figurative sense.,verb/adjective,沉,chen2,43,"Common in words like 沉默 (silent), 沉重 (heavy/serious), and 下沉 (to sink down)",呛,qiang1,沉,chen2,梢,shao1,友,you3,轻,qing1,B
306,"To stare or glare at someone with wide-open eyes, often expressing anger, surprise, or disapproval.",verb,瞪,deng4,43,Common in phrases like 瞪眼 (stare with wide eyes) or 瞪着他 (glare at him),伤,shang1,姆,mu3,汗,han4,堪,kan1,瞪,deng4,E
307,"To remember, to record, or to write down. Also means to take notes or keep a record of something.",verb,记,ji4,43,"Common in words like 记得 (to remember), 日记 (diary), 记录 (to record)",应,ying1,液,ye4,妮,ni1,寐,mei4,记,ji4,E
308,Heavy or weighty; also means important or serious. Describes physical weight or the significance/gravity of something.,adjective,重,zhong4,43,"Common in words like 重要 (important), 体重 (body weight), and 严重 (serious)",何,he2,患,huan4,焉,yan1,花,hua1,重,zhong4,E
309,"To show, display, or reveal; to be obvious or apparent. Often used to describe something becoming visible or evident.",verb/adjective,显,xian3,42,"Common in words like 显示 (to display), 明显 (obvious), and 显得 (to appear/seem)",句,ju4,队,dui4,挪,nuo2,狮,shi1,显,xian3,E
310,"Good fortune, happiness, or blessing. This character represents luck and prosperity in Chinese culture.",noun,福,fu2,42,"Commonly seen during Chinese New Year on red decorations, and in phrases like 幸福 (happiness) and 祝福 (blessing/wish)",福,fu2,倒,dao4,盔,kui1,厅,ting1,效,xiao4,A
311,To wait or await; also used to mean 'rank/class' or as a suffix meaning 'and so on/etc.',verb/noun/particle,等,deng3,42,Common in phrases like 等一下 (wait a moment) and 我等 (I and others/we),称,cheng1,橱,chu2,乔,qiao2,工,gong1,等,deng3,E
312,"A character primarily used in transliterating foreign names and places, meaning 'to enlighten' or 'to guide' in classical Chinese.",noun/transliteration,迪,di2,42,"Commonly seen in names like 迪士尼 (Dísīní, Disney) and 迪拜 (Dìbài, Dubai)",吓,xia4,糙,cao1,迪,di2,窗,chuang1,涕,ti4,C
